track_ids,count,producers
"('079Ey5uxL04AKPQgVQwx5h', '0SqqAgdovOE24BzxIClpjw')",1,['Tainy']
"('079Ey5uxL04AKPQgVQwx5h', '0z8hI3OPS8ADPWtoCjjLl6')",2,"['Tainy', 'NEON16']"
"('079Ey5uxL04AKPQgVQwx5h', '2DEZmgHKAvm41k4J3R2E9Y')",1,['Tainy']
"('079Ey5uxL04AKPQgVQwx5h', '2JPLbjOn0wPCngEot2STUS')",1,['Tainy']
"('079Ey5uxL04AKPQgVQwx5h', '2XIc1pqjXV3Cr2BQUGNBck')",1,['Tainy']
"('079Ey5uxL04AKPQgVQwx5h', '2rurDawMfoKP4uHyb2kJBt')",1,['Albert Hype']
"('079Ey5uxL04AKPQgVQwx5h', '3k3NWokhRRkEPhCzPmV8TW')",1,['Tainy']
"('079Ey5uxL04AKPQgVQwx5h', '4MzXwWMhyBbmu6hOcLVD49')",1,['Tainy']
"('079Ey5uxL04AKPQgVQwx5h', '4w47S36wQGBhGg073q3nt7')",1,['Tainy']
"('079Ey5uxL04AKPQgVQwx5h', '6tDDoYIxWvMLTdKpjFkc1B')",2,"['Albert Hype', 'Tainy']"
"('07KXEDMj78x68D884wgVEm', '1fxYz1s15pyZLsJT0Hdh1m')",2,"['GYLTTRYP', 'Mustard']"
"('07MDkzWARZaLEdKxo6yArG', '1QL7nSDZCwZMnbisV4KOXt')",1,['Tyler Cole']
"('07bsRv0pcpbG4zJeLsUs1p', '0E4Y1XIbs8GrAT1YqVy6dq')",1,['Fred again..']
"('07bsRv0pcpbG4zJeLsUs1p', '0VjIjW4GlUZAMYd2vXMi3b')",1,['Max Martin']
"('07bsRv0pcpbG4zJeLsUs1p', '0lx2cLdOt3piJbcaXIV74f')",1,['Aaron Dessner']
"('07bsRv0pcpbG4zJeLsUs1p', '0mL82sxCRjrs3br407IdJh')",1,['Max Martin']
"('07bsRv0pcpbG4zJeLsUs1p', '1nH2PkJL1XoUq8oE6tBZoU')",1,['Max Martin']
"('07bsRv0pcpbG4zJeLsUs1p', '2NbsBSshscKIPRG3kwBbfo')",1,['Fred again..']
"('07bsRv0pcpbG4zJeLsUs1p', '2SLwbpExuoBDZBpjfefCtV')",1,['Max Martin']
"('07bsRv0pcpbG4zJeLsUs1p', '37BZB0z9T8Xu7U3e65qxFy')",1,['Max Martin']
"('07bsRv0pcpbG4zJeLsUs1p', '3FeVmId7tL5YN8B7R3imoM')",1,['Max Martin']
"('07bsRv0pcpbG4zJeLsUs1p', '4LEK9rD7TWIG4FCL1s27XC')",1,['Aaron Dessner']
"('07bsRv0pcpbG4zJeLsUs1p', '50nfwKoDiSYg8zOCREWAm5')",1,['Fred again..']
"('07bsRv0pcpbG4zJeLsUs1p', '5hvwx5i67IwnCkjl9VHkNv')",1,['Shellback']
"('07bsRv0pcpbG4zJeLsUs1p', '6PQ88X9TkUIAUIZJHW2upE')",1,['Fred again..']
"('07bsRv0pcpbG4zJeLsUs1p', '7szuecWAPwGoV1e5vGu8tl')",1,['Max Martin']
"('0ARKW62l9uWIDYMZTUmJHF', '0skYUMpS0AcbpjcGsAbRGj')",2,"['Teddy Park', '24']"
"('0ARKW62l9uWIDYMZTUmJHF', '2J4P46vCFm1rPkNkp9pZWX')",2,"['Teddy Park', '24']"
"('0ARKW62l9uWIDYMZTUmJHF', '2pn8dNVSpYnAtlKFC8Q0DJ')",2,"['24', 'Teddy Park']"
"('0ARKW62l9uWIDYMZTUmJHF', '7hU3IHwjX150XLoTVmjD0q')",1,['24']
"('0BI0hfbmqybnd3TezrDME3', '0mL82sxCRjrs3br407IdJh')",1,['TBHits']
"('0BI0hfbmqybnd3TezrDME3', '2J4P46vCFm1rPkNkp9pZWX')",1,['TBHits']
"('0BI0hfbmqybnd3TezrDME3', '35mvY5S1H3J2QZyna3TFe0')",1,['TBHits']
"('0BI0hfbmqybnd3TezrDME3', '3UoULw70kMsiVXxW0L3A33')",1,['TBHits']
"('0BI0hfbmqybnd3TezrDME3', '3eZYOQO4UzKrUDYDghtnFw')",1,['TBHits']
"('0BI0hfbmqybnd3TezrDME3', '5GkQIP5mWPi4KZLLXeuFTT')",1,['TBHits']
"('0BI0hfbmqybnd3TezrDME3', '5u1n1kITHCxxp8twBcZxWy')",1,['TBHits']
"('0BI0hfbmqybnd3TezrDME3', '6Im9k8u9iIzKMrmV7BWtlF')",2,"['Xavi', 'TBHits']"
"('0DWdj2oZMBFSzRsi2Cvfzf', '1ri9ZUkBJVFUdgwzCnfcYs')",1,['Ovy On The Drums']
"('0DWdj2oZMBFSzRsi2Cvfzf', '3XB5uhhlYSnkxpSihkNQwh')",1,['Ovy On The Drums']
"('0DWdj2oZMBFSzRsi2Cvfzf', '7dSZ6zGTQx66c2GF91xCrb')",1,['Ovy On The Drums']
"('0DWdj2oZMBFSzRsi2Cvfzf', '7k4t7uLgtOxPwTpFmtJNTY')",1,['Ovy On The Drums']
"('0DWdj2oZMBFSzRsi2Cvfzf', '7vrJn5hDSXRmdXoR30KgF1')",1,['Ovy On The Drums']
"('0E4Y1XIbs8GrAT1YqVy6dq', '2NbsBSshscKIPRG3kwBbfo')",1,['Fred again..']
"('0E4Y1XIbs8GrAT1YqVy6dq', '50nfwKoDiSYg8zOCREWAm5')",2,"['Ed Sheeran', 'Fred again..']"
"('0E4Y1XIbs8GrAT1YqVy6dq', '6PQ88X9TkUIAUIZJHW2upE')",2,"['Fred again..', 'Ed Sheeran']"
"('0HD8mbiPjp3o94X3EaZp0o', '0e8nrvls4Qqv5Rfa2UhqmO')",1,['Ryan Tedder']
"('0HD8mbiPjp3o94X3EaZp0o', '3rUGC1vUpkDG9CZFHMur1t')",1,['Ryan Tedder']
"('0HD8mbiPjp3o94X3EaZp0o', '4h9wh7iOZ0GGn8QVp4RAOB')",2,"['Ryan Tedder', 'Tyler Spry']"
"('0HD8mbiPjp3o94X3EaZp0o', '4wNIkl5XGiAACjFBlDWuSd')",1,['Ryan Tedder']
"('0IuVhCflrQPMGRrOyoY5RW', '3Kkjo3cT83cw09VJyrLNwX')",1,['Greg Kurstin']
"('0IuVhCflrQPMGRrOyoY5RW', '46IZ0fSY2mpAiktS3KOqds')",1,['Greg Kurstin']
"('0IuVhCflrQPMGRrOyoY5RW', '7lidXGPXPYLNThITAOTlkK')",1,['Greg Kurstin']
"('0LThjFY2iTtNdd4wviwVV2', '3VqeTFIvhxu3DIe4eZVzGq')",1,['Stephen Kirk']
"('0LThjFY2iTtNdd4wviwVV2', '50nfwKoDiSYg8zOCREWAm5')",1,['Steve Mac']
"('0Nfh4u0J4bajcyp5pzaWCx', '5u1n1kITHCxxp8twBcZxWy')",1,['Michael Pollack']
"('0O6u0VJ46W86TxN9wgyqDj', '1r8ZCjfrQxoy2wVaBUbpwg')",1,['Louis Bell']
"('0O6u0VJ46W86TxN9wgyqDj', '1rDQ4oMwGJI7B4tovsBOxc')",1,['Jasper Harris']
"('0O6u0VJ46W86TxN9wgyqDj', '27ycaQnQAxaPiyeg3nr2aB')",1,['Louis Bell']
"('0O6u0VJ46W86TxN9wgyqDj', '3rUGC1vUpkDG9CZFHMur1t')",1,['Jasper Harris']
"('0O6u0VJ46W86TxN9wgyqDj', '40uMIn2zJLAQhNXghRjBed')",1,['Louis Bell']
"('0O6u0VJ46W86TxN9wgyqDj', '4P9Q0GojKVXpRTJCaL3kyy')",1,['Louis Bell']
"('0O6u0VJ46W86TxN9wgyqDj', '4u4NyuceXP7Uzh7XFJKCr1')",1,['Louis Bell']
"('0O6u0VJ46W86TxN9wgyqDj', '5w40ZYhbBMAlHYNDaVJIUu')",2,"['Post Malone', 'Louis Bell']"
"('0PvFJmanyNQMseIFrU708S', '0WSEq9Ko4kFPt8yo3ICd6T')",1,['MIKE DEAN']
"('0PvFJmanyNQMseIFrU708S', '1Hohk6AufHZOrrhMXZppax')",1,['MIKE DEAN']
"('0PvFJmanyNQMseIFrU708S', '39Yp9wwQiSRIDOvrVg7mbk')",1,['MIKE DEAN']
"('0PvFJmanyNQMseIFrU708S', '3HyR1j49TY5ACP2lseF1jx')",1,['MIKE DEAN']
"('0PvFJmanyNQMseIFrU708S', '3eekarcy7kvN4yt5ZFzltW')",1,['MIKE DEAN']
"('0PvFJmanyNQMseIFrU708S', '4VMRsbfZzd3SfQtaJ1Wpwi')",1,['MIKE DEAN']
"('0PvFJmanyNQMseIFrU708S', '6WzRpISELf3YglGAh7TXcG')",1,['MIKE DEAN']
"('0SqqAgdovOE24BzxIClpjw', '0z8hI3OPS8ADPWtoCjjLl6')",1,['Tainy']
"('0SqqAgdovOE24BzxIClpjw', '2DEZmgHKAvm41k4J3R2E9Y')",1,['Tainy']
"('0SqqAgdovOE24BzxIClpjw', '2JPLbjOn0wPCngEot2STUS')",1,['Tainy']
"('0SqqAgdovOE24BzxIClpjw', '2XIc1pqjXV3Cr2BQUGNBck')",1,['Tainy']
"('0SqqAgdovOE24BzxIClpjw', '3IAfUEeaXRX9s9UdKOJrFI')",1,['Subelo NEO']
"('0SqqAgdovOE24BzxIClpjw', '3k3NWokhRRkEPhCzPmV8TW')",1,['Tainy']
"('0SqqAgdovOE24BzxIClpjw', '4MzXwWMhyBbmu6hOcLVD49')",2,"['Tainy', 'Bad Bunny']"
"('0SqqAgdovOE24BzxIClpjw', '4w47S36wQGBhGg073q3nt7')",1,['Tainy']
"('0SqqAgdovOE24BzxIClpjw', '6NfrH0ANGmgBXyxgV2PeXt')",1,['Subelo NEO']
