track_ids,count,writers
"('079Ey5uxL04AKPQgVQwx5h', '0SqqAgdovOE24BzxIClpjw')",1,['Tainy']
"('079Ey5uxL04AKPQgVQwx5h', '0z8hI3OPS8ADPWtoCjjLl6')",3,"['Tainy', 'Alejandro Borrero', 'Ivanni Rodríguez']"
"('079Ey5uxL04AKPQgVQwx5h', '1ri9ZUkBJVFUdgwzCnfcYs')",1,['ELENA ROSE']
"('079Ey5uxL04AKPQgVQwx5h', '1yoMvmasuxZfqHEipJhRbp')",1,['Edge']
"('079Ey5uxL04AKPQgVQwx5h', '2DB4DdfCFMw1iaR6JaR03a')",1,['Edge']
"('079Ey5uxL04AKPQgVQwx5h', '2DEZmgHKAvm41k4J3R2E9Y')",1,['Tainy']
"('079Ey5uxL04AKPQgVQwx5h', '2J4P46vCFm1rPkNkp9pZWX')",1,['Selena Gomez']
"('079Ey5uxL04AKPQgVQwx5h', '2JPLbjOn0wPCngEot2STUS')",1,['Tainy']
"('079Ey5uxL04AKPQgVQwx5h', '2XIc1pqjXV3Cr2BQUGNBck')",1,['Tainy']
"('079Ey5uxL04AKPQgVQwx5h', '2rurDawMfoKP4uHyb2kJBt')",2,"['Rauw Alejandro', 'Albert Hype']"
"('079Ey5uxL04AKPQgVQwx5h', '3XoflnowYPFRPOh3uFvHcm')",2,"['Selena Gomez', 'Kris Floyd']"
"('079Ey5uxL04AKPQgVQwx5h', '4MzXwWMhyBbmu6hOcLVD49')",1,['Tainy']
"('079Ey5uxL04AKPQgVQwx5h', '4fSIb4hdOQ151TILNsSEaF')",1,['Rauw Alejandro']
"('079Ey5uxL04AKPQgVQwx5h', '5ww2BF9slyYgNOk37BlC4u')",1,['Edge']
"('079Ey5uxL04AKPQgVQwx5h', '609E1JCInJncactoMmkDon')",1,['Rauw Alejandro']
"('079Ey5uxL04AKPQgVQwx5h', '6iF4RgIjDvDqyW13PezSj3')",1,['Selena Gomez']
"('079Ey5uxL04AKPQgVQwx5h', '6mmPpaltUZK7xjNlBPQQ0p')",1,['Rauw Alejandro']
"('079Ey5uxL04AKPQgVQwx5h', '6pD0ufEQq0xdHSsRbg9LBK')",1,['Edge']
"('079Ey5uxL04AKPQgVQwx5h', '6tDDoYIxWvMLTdKpjFkc1B')",2,"['Tainy', 'Albert Hype']"
"('079Ey5uxL04AKPQgVQwx5h', '7HMmFQsKsljwTw8bS7lu19')",1,['Selena Gomez']
"('07KXEDMj78x68D884wgVEm', '0nbXyq5TXYPCO7pr3N8S4I')",1,['Roddy Ricch']
"('07KXEDMj78x68D884wgVEm', '1fxYz1s15pyZLsJT0Hdh1m')",1,['Roddy Ricch']
"('07KXEDMj78x68D884wgVEm', '7ytR5pFWmSjzHJIeQkgog4')",1,['Roddy Ricch']
"('07MDkzWARZaLEdKxo6yArG', '1QL7nSDZCwZMnbisV4KOXt')",2,"['Tyler Cole', 'WILLOW']"
"('07bsRv0pcpbG4zJeLsUs1p', '0E4Y1XIbs8GrAT1YqVy6dq')",2,"['Fred again..', 'Ed Sheeran']"
"('07bsRv0pcpbG4zJeLsUs1p', '0LThjFY2iTtNdd4wviwVV2')",1,['Ed Sheeran']
"('07bsRv0pcpbG4zJeLsUs1p', '0VjIjW4GlUZAMYd2vXMi3b')",1,['Max Martin']
"('07bsRv0pcpbG4zJeLsUs1p', '0mL82sxCRjrs3br407IdJh')",1,['Max Martin']
"('07bsRv0pcpbG4zJeLsUs1p', '1nH2PkJL1XoUq8oE6tBZoU')",1,['Max Martin']
"('07bsRv0pcpbG4zJeLsUs1p', '2DB4DdfCFMw1iaR6JaR03a')",1,['Ed Sheeran']
"('07bsRv0pcpbG4zJeLsUs1p', '2NbsBSshscKIPRG3kwBbfo')",1,['Fred again..']
"('07bsRv0pcpbG4zJeLsUs1p', '37BZB0z9T8Xu7U3e65qxFy')",1,['Max Martin']
"('07bsRv0pcpbG4zJeLsUs1p', '3BKD1PwArikchz2Zrlp1qi')",1,['Ed Sheeran']
"('07bsRv0pcpbG4zJeLsUs1p', '3FeVmId7tL5YN8B7R3imoM')",1,['Max Martin']
"('07bsRv0pcpbG4zJeLsUs1p', '50nfwKoDiSYg8zOCREWAm5')",1,['Ed Sheeran']
"('07bsRv0pcpbG4zJeLsUs1p', '5hvwx5i67IwnCkjl9VHkNv')",1,['Shellback']
"('07bsRv0pcpbG4zJeLsUs1p', '6PQ88X9TkUIAUIZJHW2upE')",2,"['Ed Sheeran', 'Fred again..']"
"('07bsRv0pcpbG4zJeLsUs1p', '7szuecWAPwGoV1e5vGu8tl')",1,['Max Martin']
"('0A1hoCfMLkiAgvhWkkucJa', '4Oun2ylbjFKMPTiaSbbCih')",1,['Megan Thee Stallion']
"('0A1hoCfMLkiAgvhWkkucJa', '5v4GgrXPMghOnBBLmveLac')",1,['Megan Thee Stallion']
"('0A1hoCfMLkiAgvhWkkucJa', '6fRxMU4LWwyaSSowV441IU')",1,['Megan Thee Stallion']
"('0A1hoCfMLkiAgvhWkkucJa', '7mFj0LlWtEJaEigguaWqYh')",1,['Megan Thee Stallion']
"('0ARKW62l9uWIDYMZTUmJHF', '0skYUMpS0AcbpjcGsAbRGj')",2,"['Teddy Park', 'Danny Chung']"
"('0ARKW62l9uWIDYMZTUmJHF', '2J4P46vCFm1rPkNkp9pZWX')",1,['Teddy Park']
"('0ARKW62l9uWIDYMZTUmJHF', '2pn8dNVSpYnAtlKFC8Q0DJ')",1,['Teddy Park']
"('0ARKW62l9uWIDYMZTUmJHF', '7hU3IHwjX150XLoTVmjD0q')",1,['Vince (KOR)']
"('0BI0hfbmqybnd3TezrDME3', '0mL82sxCRjrs3br407IdJh')",1,['TBHits']
"('0BI0hfbmqybnd3TezrDME3', '24ySl2hOPGCDcxBxFIqWBu')",1,['Ariana Grande']
"('0BI0hfbmqybnd3TezrDME3', '2J4P46vCFm1rPkNkp9pZWX')",2,"['Ariana Grande', 'TBHits']"
"('0BI0hfbmqybnd3TezrDME3', '35mvY5S1H3J2QZyna3TFe0')",2,"['TBHits', 'Ariana Grande']"
"('0BI0hfbmqybnd3TezrDME3', '3UoULw70kMsiVXxW0L3A33')",2,"['TBHits', 'Ariana Grande']"
"('0BI0hfbmqybnd3TezrDME3', '3eZYOQO4UzKrUDYDghtnFw')",2,"['TBHits', 'Ariana Grande']"
"('0BI0hfbmqybnd3TezrDME3', '5GkQIP5mWPi4KZLLXeuFTT')",2,"['TBHits', 'Ariana Grande']"
"('0BI0hfbmqybnd3TezrDME3', '5u1n1kITHCxxp8twBcZxWy')",1,['TBHits']
"('0BI0hfbmqybnd3TezrDME3', '6Im9k8u9iIzKMrmV7BWtlF')",4,"['Xavi', 'TBHits', 'Stanaj', 'Ariana Grande']"
"('0DWdj2oZMBFSzRsi2Cvfzf', '1ri9ZUkBJVFUdgwzCnfcYs')",2,"['KAROL G', 'Ovy On The Drums']"
"('0DWdj2oZMBFSzRsi2Cvfzf', '1yoMvmasuxZfqHEipJhRbp')",1,['KEITYN']
"('0DWdj2oZMBFSzRsi2Cvfzf', '1zLBsSVxETQOfINOLYvT5m')",1,['Shakira']
"('0DWdj2oZMBFSzRsi2Cvfzf', '2rurDawMfoKP4uHyb2kJBt')",2,"['KEITYN', 'Shakira']"
"('0DWdj2oZMBFSzRsi2Cvfzf', '3XB5uhhlYSnkxpSihkNQwh')",2,"['KAROL G', 'Ovy On The Drums']"
"('0DWdj2oZMBFSzRsi2Cvfzf', '4nrPB8O7Y7wsOCJdgXkthe')",2,"['KEITYN', 'Shakira']"
"('0DWdj2oZMBFSzRsi2Cvfzf', '7dSZ6zGTQx66c2GF91xCrb')",3,"['KAROL G', 'KEITYN', 'Ovy On The Drums']"
"('0DWdj2oZMBFSzRsi2Cvfzf', '7k4t7uLgtOxPwTpFmtJNTY')",3,"['KAROL G', 'KEITYN', 'Ovy On The Drums']"
"('0DWdj2oZMBFSzRsi2Cvfzf', '7vrJn5hDSXRmdXoR30KgF1')",2,"['KAROL G', 'Ovy On The Drums']"
"('0E4Y1XIbs8GrAT1YqVy6dq', '0LThjFY2iTtNdd4wviwVV2')",1,['Ed Sheeran']
"('0E4Y1XIbs8GrAT1YqVy6dq', '2DB4DdfCFMw1iaR6JaR03a')",1,['Ed Sheeran']
"('0E4Y1XIbs8GrAT1YqVy6dq', '2NbsBSshscKIPRG3kwBbfo')",1,['Fred again..']
"('0E4Y1XIbs8GrAT1YqVy6dq', '3BKD1PwArikchz2Zrlp1qi')",1,['Ed Sheeran']
"('0E4Y1XIbs8GrAT1YqVy6dq', '50nfwKoDiSYg8zOCREWAm5')",1,['Ed Sheeran']
"('0E4Y1XIbs8GrAT1YqVy6dq', '6PQ88X9TkUIAUIZJHW2upE')",2,"['Fred again..', 'Ed Sheeran']"
"('0HD8mbiPjp3o94X3EaZp0o', '0IuVhCflrQPMGRrOyoY5RW')",1,['Tate McRae']
"('0HD8mbiPjp3o94X3EaZp0o', '0e8nrvls4Qqv5Rfa2UhqmO')",1,['Ryan Tedder']
"('0HD8mbiPjp3o94X3EaZp0o', '3rUGC1vUpkDG9CZFHMur1t')",2,"['Tate McRae', 'Ryan Tedder']"
"('0HD8mbiPjp3o94X3EaZp0o', '45bE4HXI0AwGZXfZtMp8JR')",1,['Tate McRae']
"('0HD8mbiPjp3o94X3EaZp0o', '4h9wh7iOZ0GGn8QVp4RAOB')",2,"['Tyler Spry', 'Ryan Tedder']"
"('0HD8mbiPjp3o94X3EaZp0o', '4wNIkl5XGiAACjFBlDWuSd')",1,['Ryan Tedder']
"('0IuVhCflrQPMGRrOyoY5RW', '3Kkjo3cT83cw09VJyrLNwX')",1,['Greg Kurstin']
"('0IuVhCflrQPMGRrOyoY5RW', '3rUGC1vUpkDG9CZFHMur1t')",1,['Tate McRae']
"('0IuVhCflrQPMGRrOyoY5RW', '45bE4HXI0AwGZXfZtMp8JR')",1,['Tate McRae']
"('0IuVhCflrQPMGRrOyoY5RW', '46IZ0fSY2mpAiktS3KOqds')",1,['Greg Kurstin']
"('0IuVhCflrQPMGRrOyoY5RW', '7lidXGPXPYLNThITAOTlkK')",1,['Greg Kurstin']
"('0LThjFY2iTtNdd4wviwVV2', '2DB4DdfCFMw1iaR6JaR03a')",1,['Ed Sheeran']
"('0LThjFY2iTtNdd4wviwVV2', '3BKD1PwArikchz2Zrlp1qi')",3,"['Ed Sheeran', 'Johnny McDaid', 'Steve Mac']"
"('0LThjFY2iTtNdd4wviwVV2', '3GZoWLVbmxcBys6g0DLFLf')",1,['Jenna Andrews']
"('0LThjFY2iTtNdd4wviwVV2', '3VqeTFIvhxu3DIe4eZVzGq')",2,"['Stephen Kirk', 'Jenna Andrews']"
"('0LThjFY2iTtNdd4wviwVV2', '50nfwKoDiSYg8zOCREWAm5')",3,"['Ed Sheeran', 'Johnny McDaid', 'Steve Mac']"
"('0LThjFY2iTtNdd4wviwVV2', '6PQ88X9TkUIAUIZJHW2upE')",2,"['Ed Sheeran', 'Johnny McDaid']"
