track_ids,count,producers
"('079Ey5uxL04AKPQgVQwx5h', '0SqqAgdovOE24BzxIClpjw')",1,['Tainy']
"('079Ey5uxL04AKPQgVQwx5h', '0z8hI3OPS8ADPWtoCjjLl6')",2,"['Tainy', 'NEON16']"
"('079Ey5uxL04AKPQgVQwx5h', '2XIc1pqjXV3Cr2BQUGNBck')",1,['Tainy']
"('079Ey5uxL04AKPQgVQwx5h', '2rurDawMfoKP4uHyb2kJBt')",1,['Albert Hype']
"('0LThjFY2iTtNdd4wviwVV2', '3VqeTFIvhxu3DIe4eZVzGq')",1,['Stephen Kirk']
"('0O6u0VJ46W86TxN9wgyqDj', '1rDQ4oMwGJI7B4tovsBOxc')",1,['Jasper Harris']
"('0SqqAgdovOE24BzxIClpjw', '0z8hI3OPS8ADPWtoCjjLl6')",1,['Tainy']
"('0SqqAgdovOE24BzxIClpjw', '2XIc1pqjXV3Cr2BQUGNBck')",1,['Tainy']
"('0k4d5YPDr1r7FX77VdqWez', '748mdHapucXQri7IAO8yFK')",1,['Dr. Luke']
"('0z8hI3OPS8ADPWtoCjjLl6', '2XIc1pqjXV3Cr2BQUGNBck')",1,['Tainy']
"('0z8hI3OPS8ADPWtoCjjLl6', '6F2r4HgpJnvKDmkN6JEN6J')",1,['Ido Zmishlany']
"('1BxfuPKGuaTgP7aM0Bbdwr', '3KdoeNlEN0BoAKWzaRLNZa')",1,['Jack Antonoff']
"('1BxfuPKGuaTgP7aM0Bbdwr', '5N3hjp1WNayUPZrA8kJmJP')",1,['Jack Antonoff']
"('1BxfuPKGuaTgP7aM0Bbdwr', '7KokYm8cMIXCsGVmUvKtqf')",2,"['Taylor Swift', 'Jack Antonoff']"
"('1Qrg8KqiBpW07V7PNxwwwL', '748mdHapucXQri7IAO8yFK')",1,['Carter Lang']
"('1qEmFfgcLObUfQm0j1W2CK', '3jjujdWJ72nww5eGnfs2E7')",2,"['Kid Harpoon', 'Tyler Johnson']"
"('1rDQ4oMwGJI7B4tovsBOxc', '748mdHapucXQri7IAO8yFK')",1,['Rogét Chahayed']
"('2J4P46vCFm1rPkNkp9pZWX', '5u1n1kITHCxxp8twBcZxWy')",2,"['TBHits', 'Mr. Franks']"
"('2XIc1pqjXV3Cr2BQUGNBck', '5ildQOEKmJuWGl2vRkFdYc')",2,"['Gaby Music', 'Chris Jedi']"
"('2gyxAWHebV7xPYVxqoi86f', '2i8f4VnnBjy0yDqH2C452a')",1,['Dan Nigro']
"('2gyxAWHebV7xPYVxqoi86f', '4ZtFanR9U6ndgddUvNcjcG')",2,"['Alexander 23', 'Dan Nigro']"
"('2i8f4VnnBjy0yDqH2C452a', '4ZtFanR9U6ndgddUvNcjcG')",1,['Dan Nigro']
"('2sXf2JdbB2GlNju00kw9WE', '7MAibcTli4IisCtbHKrGMh')",2,"['D’Mile', 'Bruno Mars']"
"('3KdoeNlEN0BoAKWzaRLNZa', '5N3hjp1WNayUPZrA8kJmJP')",1,['Jack Antonoff']
"('3KdoeNlEN0BoAKWzaRLNZa', '7KokYm8cMIXCsGVmUvKtqf')",1,['Jack Antonoff']
"('5N3hjp1WNayUPZrA8kJmJP', '7KokYm8cMIXCsGVmUvKtqf')",1,['Jack Antonoff']
