track_ids,count,writers
"('079Ey5uxL04AKPQgVQwx5h', '0SqqAgdovOE24BzxIClpjw')",1,['Tainy']
"('079Ey5uxL04AKPQgVQwx5h', '0z8hI3OPS8ADPWtoCjjLl6')",3,"['Tainy', 'Alejandro Borrero', 'Ivanni Rodríguez']"
"('079Ey5uxL04AKPQgVQwx5h', '2DB4DdfCFMw1iaR6JaR03a')",1,['Edge']
"('079Ey5uxL04AKPQgVQwx5h', '2J4P46vCFm1rPkNkp9pZWX')",1,['Selena Gomez']
"('079Ey5uxL04AKPQgVQwx5h', '2XIc1pqjXV3Cr2BQUGNBck')",1,['Tainy']
"('079Ey5uxL04AKPQgVQwx5h', '2rurDawMfoKP4uHyb2kJBt')",2,"['Rauw Alejandro', 'Albert Hype']"
"('079Ey5uxL04AKPQgVQwx5h', '7HMmFQsKsljwTw8bS7lu19')",1,['Selena Gomez']
"('0LThjFY2iTtNdd4wviwVV2', '2DB4DdfCFMw1iaR6JaR03a')",1,['Ed Sheeran']
"('0LThjFY2iTtNdd4wviwVV2', '3BKD1PwArikchz2Zrlp1qi')",3,"['Ed Sheeran', 'Johnny McDaid', 'Steve Mac']"
"('0LThjFY2iTtNdd4wviwVV2', '3GZoWLVbmxcBys6g0DLFLf')",1,['Jenna Andrews']
"('0LThjFY2iTtNdd4wviwVV2', '3VqeTFIvhxu3DIe4eZVzGq')",2,"['Stephen Kirk', 'Jenna Andrews']"
"('0O6u0VJ46W86TxN9wgyqDj', '1rDQ4oMwGJI7B4tovsBOxc')",1,['Jasper Harris']
"('0O6u0VJ46W86TxN9wgyqDj', '3yOlyBJuViE2YSGn3nVE1K')",1,['Louis Bell']
"('0QHEIqNKsMoOY5urbzN48u', '2IHLaN6wwYKQ3S24NsQqpA')",1,['Sean Douglas']
"('0SqqAgdovOE24BzxIClpjw', '0z8hI3OPS8ADPWtoCjjLl6')",1,['Tainy']
"('0SqqAgdovOE24BzxIClpjw', '2XIc1pqjXV3Cr2BQUGNBck')",2,"['Tainy', 'Bad Bunny']"
"('0SqqAgdovOE24BzxIClpjw', '2mnXxnrX5vCGolNkaFvVeM')",1,['Bad Bunny']
"('0U1W2LZVUX7qTm7dDpqxh6', '0z8hI3OPS8ADPWtoCjjLl6')",2,"['Shawn Mendes', 'Scott Harris']"
"('0U1W2LZVUX7qTm7dDpqxh6', '1diS6nkxMQc3wwC4G1j0bh')",1,['Scott Harris']
"('0U1W2LZVUX7qTm7dDpqxh6', '2DB4DdfCFMw1iaR6JaR03a')",1,['Scott Harris']
"('0U1W2LZVUX7qTm7dDpqxh6', '6F2r4HgpJnvKDmkN6JEN6J')",1,['Scott Harris']
"('0k4d5YPDr1r7FX77VdqWez', '2IGMVunIBsBLtEQyoI1Mu7')",1,['Doja Cat']
"('0k4d5YPDr1r7FX77VdqWez', '3nY8AqaMNNHHLYV4380ol0')",1,['Doja Cat']
"('0k4d5YPDr1r7FX77VdqWez', '60ynsPSSKe6O3sfwRnIBRf')",1,['Doja Cat']
"('0k4d5YPDr1r7FX77VdqWez', '748mdHapucXQri7IAO8yFK')",2,"['Dr. Luke', 'Doja Cat']"
"('0z8hI3OPS8ADPWtoCjjLl6', '1diS6nkxMQc3wwC4G1j0bh')",1,['Scott Harris']
"('0z8hI3OPS8ADPWtoCjjLl6', '2DB4DdfCFMw1iaR6JaR03a')",1,['Scott Harris']
"('0z8hI3OPS8ADPWtoCjjLl6', '2XIc1pqjXV3Cr2BQUGNBck')",1,['Tainy']
"('0z8hI3OPS8ADPWtoCjjLl6', '6F2r4HgpJnvKDmkN6JEN6J')",3,"['Aldae', 'Scott Harris', 'Ido Zmishlany']"
"('18vXApRmJSgQ6wG2ll9AOg', '1rDQ4oMwGJI7B4tovsBOxc')",1,['Charlie Handsome']
"('1BSMpVGWs3v5BZKnAQziAc', '6fRxMU4LWwyaSSowV441IU')",1,['Jacob Kasher']
"('1BxfuPKGuaTgP7aM0Bbdwr', '3KdoeNlEN0BoAKWzaRLNZa')",1,['Jack Antonoff']
"('1BxfuPKGuaTgP7aM0Bbdwr', '5N3hjp1WNayUPZrA8kJmJP')",1,['Jack Antonoff']
"('1BxfuPKGuaTgP7aM0Bbdwr', '7KokYm8cMIXCsGVmUvKtqf')",2,"['Jack Antonoff', 'Taylor Swift']"
"('1Qrg8KqiBpW07V7PNxwwwL', '748mdHapucXQri7IAO8yFK')",2,"['SZA', 'Carter Lang']"
"('1diS6nkxMQc3wwC4G1j0bh', '2DB4DdfCFMw1iaR6JaR03a')",1,['Scott Harris']
"('1diS6nkxMQc3wwC4G1j0bh', '6F2r4HgpJnvKDmkN6JEN6J')",1,['Scott Harris']
"('1diS6nkxMQc3wwC4G1j0bh', '7mFj0LlWtEJaEigguaWqYh')",1,['Dua Lipa']
"('1qEmFfgcLObUfQm0j1W2CK', '3jjujdWJ72nww5eGnfs2E7')",2,"['Kid Harpoon', 'Harry Styles']"
"('1rDQ4oMwGJI7B4tovsBOxc', '748mdHapucXQri7IAO8yFK')",1,['Rogét Chahayed']
"('24ySl2hOPGCDcxBxFIqWBu', '2J4P46vCFm1rPkNkp9pZWX')",1,['Ariana Grande']
"('24ySl2hOPGCDcxBxFIqWBu', '7mFj0LlWtEJaEigguaWqYh')",1,['Nija']
"('2DB4DdfCFMw1iaR6JaR03a', '3BKD1PwArikchz2Zrlp1qi')",1,['Ed Sheeran']
"('2DB4DdfCFMw1iaR6JaR03a', '3yOlyBJuViE2YSGn3nVE1K')",1,['Camila Cabello']
"('2DB4DdfCFMw1iaR6JaR03a', '6F2r4HgpJnvKDmkN6JEN6J')",1,['Scott Harris']
"('2IGMVunIBsBLtEQyoI1Mu7', '3nY8AqaMNNHHLYV4380ol0')",1,['Doja Cat']
"('2IGMVunIBsBLtEQyoI1Mu7', '60ynsPSSKe6O3sfwRnIBRf')",1,['Doja Cat']
"('2IGMVunIBsBLtEQyoI1Mu7', '748mdHapucXQri7IAO8yFK')",1,['Doja Cat']
"('2J4P46vCFm1rPkNkp9pZWX', '5u1n1kITHCxxp8twBcZxWy')",2,"['TBHits', 'Mr. Franks']"
"('2J4P46vCFm1rPkNkp9pZWX', '7HMmFQsKsljwTw8bS7lu19')",1,['Selena Gomez']
"('2XIc1pqjXV3Cr2BQUGNBck', '2mnXxnrX5vCGolNkaFvVeM')",1,['Bad Bunny']
"('2XIc1pqjXV3Cr2BQUGNBck', '5ildQOEKmJuWGl2vRkFdYc')",3,"['Gaby Music', 'Chris Jedi', 'ROSALÍA']"
"('2gyxAWHebV7xPYVxqoi86f', '2i8f4VnnBjy0yDqH2C452a')",2,"['Olivia Rodrigo', 'Dan Nigro']"
"('2gyxAWHebV7xPYVxqoi86f', '4ZtFanR9U6ndgddUvNcjcG')",2,"['Dan Nigro', 'Olivia Rodrigo']"
"('2i8f4VnnBjy0yDqH2C452a', '4ZtFanR9U6ndgddUvNcjcG')",2,"['Dan Nigro', 'Olivia Rodrigo']"
"('2sXf2JdbB2GlNju00kw9WE', '7MAibcTli4IisCtbHKrGMh')",3,"['D’Mile', 'Anderson .Paak', 'Bruno Mars']"
"('3FeVmId7tL5YN8B7R3imoM', '3Ua0m0YmEjrMi9XErKcNiR')",1,['RM']
"('3FeVmId7tL5YN8B7R3imoM', '3VqeTFIvhxu3DIe4eZVzGq')",1,['RM']
"('3GZoWLVbmxcBys6g0DLFLf', '3VqeTFIvhxu3DIe4eZVzGq')",1,['Jenna Andrews']
"('3KdoeNlEN0BoAKWzaRLNZa', '5N3hjp1WNayUPZrA8kJmJP')",1,['Jack Antonoff']
"('3KdoeNlEN0BoAKWzaRLNZa', '7KokYm8cMIXCsGVmUvKtqf')",1,['Jack Antonoff']
"('3Ua0m0YmEjrMi9XErKcNiR', '3VqeTFIvhxu3DIe4eZVzGq')",1,['RM']
"('3jjujdWJ72nww5eGnfs2E7', '5N3hjp1WNayUPZrA8kJmJP')",1,['Amy Allen']
"('3nY8AqaMNNHHLYV4380ol0', '60ynsPSSKe6O3sfwRnIBRf')",1,['Doja Cat']
"('3nY8AqaMNNHHLYV4380ol0', '748mdHapucXQri7IAO8yFK')",1,['Doja Cat']
"('3yOlyBJuViE2YSGn3nVE1K', '7ytR5pFWmSjzHJIeQkgog4')",1,['DaBaby']
"('4umIPjkehX1r7uhmGvXiSV', '5u1n1kITHCxxp8twBcZxWy')",1,['Justin Bieber']
"('4umIPjkehX1r7uhmGvXiSV', '6F2r4HgpJnvKDmkN6JEN6J')",1,['Justin Bieber']
"('5N3hjp1WNayUPZrA8kJmJP', '6dgUya35uo964z7GZXM07g')",1,['Sabrina Carpenter']
"('5N3hjp1WNayUPZrA8kJmJP', '7KokYm8cMIXCsGVmUvKtqf')",1,['Jack Antonoff']
"('5u1n1kITHCxxp8twBcZxWy', '6F2r4HgpJnvKDmkN6JEN6J')",1,['Justin Bieber']
"('5u1n1kITHCxxp8twBcZxWy', '7x9aauaA9cu6tyfpHnqDLo')",1,['Jon Bellion']
"('60ynsPSSKe6O3sfwRnIBRf', '748mdHapucXQri7IAO8yFK')",2,"['Doja Cat', 'Yeti Beats']"
"('6fRxMU4LWwyaSSowV441IU', '7mFj0LlWtEJaEigguaWqYh')",1,['Megan Thee Stallion']
