track_ids,count,producers
"('0V3wPSX9ygBnCm8psDIegu', '1BxfuPKGuaTgP7aM0Bbdwr')",2,"['Taylor Swift', 'Jack Antonoff']"
"('0V3wPSX9ygBnCm8psDIegu', '1Iq8oo9XkmmvCQiGOfORiz')",2,"['Jack Antonoff', 'Taylor Swift']"
"('0V3wPSX9ygBnCm8psDIegu', '1wtOxkiel43cVs0Yux5Q4h')",2,"['Jack Antonoff', 'Taylor Swift']"
"('0V3wPSX9ygBnCm8psDIegu', '3CeCwYWvdfXbZLXFhBrbnf')",1,['Taylor Swift']
"('0V3wPSX9ygBnCm8psDIegu', '3KdoeNlEN0BoAKWzaRLNZa')",1,['Jack Antonoff']
"('0V3wPSX9ygBnCm8psDIegu', '3hUxzQpSfdDqwM3ZTFQY0K')",2,"['Taylor Swift', 'Jack Antonoff']"
"('0V3wPSX9ygBnCm8psDIegu', '3rWDp9tBPQR9z6U5YyRSK4')",2,"['Jack Antonoff', 'Taylor Swift']"
"('0V3wPSX9ygBnCm8psDIegu', '4P9Q0GojKVXpRTJCaL3kyy')",1,['Taylor Swift']
"('0V3wPSX9ygBnCm8psDIegu', '5N3hjp1WNayUPZrA8kJmJP')",1,['Jack Antonoff']
"('0V3wPSX9ygBnCm8psDIegu', '5enxwA8aAbwZbf5qCHORXi')",2,"['Jack Antonoff', 'Taylor Swift']"
"('0V3wPSX9ygBnCm8psDIegu', '5jQI2r1RdgtuT8S3iG8zFC')",2,"['Jack Antonoff', 'Taylor Swift']"
"('0V3wPSX9ygBnCm8psDIegu', '7KokYm8cMIXCsGVmUvKtqf')",2,"['Jack Antonoff', 'Taylor Swift']"
"('0lx2cLdOt3piJbcaXIV74f', '4LEK9rD7TWIG4FCL1s27XC')",1,['Aaron Dessner']
"('1BxfuPKGuaTgP7aM0Bbdwr', '1Iq8oo9XkmmvCQiGOfORiz')",2,"['Taylor Swift', 'Jack Antonoff']"
"('1BxfuPKGuaTgP7aM0Bbdwr', '1wtOxkiel43cVs0Yux5Q4h')",2,"['Taylor Swift', 'Jack Antonoff']"
"('1BxfuPKGuaTgP7aM0Bbdwr', '3CeCwYWvdfXbZLXFhBrbnf')",1,['Taylor Swift']
"('1BxfuPKGuaTgP7aM0Bbdwr', '3KdoeNlEN0BoAKWzaRLNZa')",1,['Jack Antonoff']
"('1BxfuPKGuaTgP7aM0Bbdwr', '3hUxzQpSfdDqwM3ZTFQY0K')",2,"['Taylor Swift', 'Jack Antonoff']"
"('1BxfuPKGuaTgP7aM0Bbdwr', '3rWDp9tBPQR9z6U5YyRSK4')",2,"['Taylor Swift', 'Jack Antonoff']"
"('1BxfuPKGuaTgP7aM0Bbdwr', '4P9Q0GojKVXpRTJCaL3kyy')",1,['Taylor Swift']
"('1BxfuPKGuaTgP7aM0Bbdwr', '5N3hjp1WNayUPZrA8kJmJP')",1,['Jack Antonoff']
"('1BxfuPKGuaTgP7aM0Bbdwr', '5enxwA8aAbwZbf5qCHORXi')",2,"['Taylor Swift', 'Jack Antonoff']"
"('1BxfuPKGuaTgP7aM0Bbdwr', '5jQI2r1RdgtuT8S3iG8zFC')",2,"['Taylor Swift', 'Jack Antonoff']"
"('1BxfuPKGuaTgP7aM0Bbdwr', '7KokYm8cMIXCsGVmUvKtqf')",2,"['Taylor Swift', 'Jack Antonoff']"
"('1Iq8oo9XkmmvCQiGOfORiz', '1wtOxkiel43cVs0Yux5Q4h')",2,"['Taylor Swift', 'Jack Antonoff']"
"('1Iq8oo9XkmmvCQiGOfORiz', '3CeCwYWvdfXbZLXFhBrbnf')",1,['Taylor Swift']
"('1Iq8oo9XkmmvCQiGOfORiz', '3KdoeNlEN0BoAKWzaRLNZa')",1,['Jack Antonoff']
"('1Iq8oo9XkmmvCQiGOfORiz', '3hUxzQpSfdDqwM3ZTFQY0K')",2,"['Taylor Swift', 'Jack Antonoff']"
"('1Iq8oo9XkmmvCQiGOfORiz', '3rWDp9tBPQR9z6U5YyRSK4')",2,"['Taylor Swift', 'Jack Antonoff']"
"('1Iq8oo9XkmmvCQiGOfORiz', '4P9Q0GojKVXpRTJCaL3kyy')",1,['Taylor Swift']
"('1Iq8oo9XkmmvCQiGOfORiz', '5N3hjp1WNayUPZrA8kJmJP')",1,['Jack Antonoff']
"('1Iq8oo9XkmmvCQiGOfORiz', '5enxwA8aAbwZbf5qCHORXi')",2,"['Taylor Swift', 'Jack Antonoff']"
"('1Iq8oo9XkmmvCQiGOfORiz', '5jQI2r1RdgtuT8S3iG8zFC')",2,"['Taylor Swift', 'Jack Antonoff']"
"('1Iq8oo9XkmmvCQiGOfORiz', '7KokYm8cMIXCsGVmUvKtqf')",2,"['Jack Antonoff', 'Taylor Swift']"
"('1wtOxkiel43cVs0Yux5Q4h', '3CeCwYWvdfXbZLXFhBrbnf')",1,['Taylor Swift']
"('1wtOxkiel43cVs0Yux5Q4h', '3KdoeNlEN0BoAKWzaRLNZa')",1,['Jack Antonoff']
"('1wtOxkiel43cVs0Yux5Q4h', '3hUxzQpSfdDqwM3ZTFQY0K')",2,"['Taylor Swift', 'Jack Antonoff']"
"('1wtOxkiel43cVs0Yux5Q4h', '3rWDp9tBPQR9z6U5YyRSK4')",2,"['Jack Antonoff', 'Taylor Swift']"
"('1wtOxkiel43cVs0Yux5Q4h', '4P9Q0GojKVXpRTJCaL3kyy')",1,['Taylor Swift']
"('1wtOxkiel43cVs0Yux5Q4h', '5N3hjp1WNayUPZrA8kJmJP')",1,['Jack Antonoff']
"('1wtOxkiel43cVs0Yux5Q4h', '5enxwA8aAbwZbf5qCHORXi')",2,"['Jack Antonoff', 'Taylor Swift']"
"('1wtOxkiel43cVs0Yux5Q4h', '5jQI2r1RdgtuT8S3iG8zFC')",2,"['Jack Antonoff', 'Taylor Swift']"
"('1wtOxkiel43cVs0Yux5Q4h', '7KokYm8cMIXCsGVmUvKtqf')",2,"['Jack Antonoff', 'Taylor Swift']"
"('2gyxAWHebV7xPYVxqoi86f', '2i8f4VnnBjy0yDqH2C452a')",1,['Dan Nigro']
"('2gyxAWHebV7xPYVxqoi86f', '3k79jB4aGmMDUQzEwa46Rz')",1,['Dan Nigro']
"('2gyxAWHebV7xPYVxqoi86f', '4ZtFanR9U6ndgddUvNcjcG')",2,"['Alexander 23', 'Dan Nigro']"
"('2gyxAWHebV7xPYVxqoi86f', '4xqrdfXkTW4T0RauPLv3WA')",1,['Dan Nigro']
"('2gyxAWHebV7xPYVxqoi86f', '56xHMIfQPoe0prrSi3BGhf')",1,['Dan Nigro']
"('2gyxAWHebV7xPYVxqoi86f', '5CZ40GBx1sQ9agT82CLQCT')",1,['Dan Nigro']
"('2gyxAWHebV7xPYVxqoi86f', '5JCoSi02qi3jJeHdZXMmR8')",1,['Dan Nigro']
"('2gyxAWHebV7xPYVxqoi86f', '61KpQadow081I2AsbeLcsb')",1,['Dan Nigro']
"('2gyxAWHebV7xPYVxqoi86f', '7lPN2DXiMsVn7XUKtOW1CS')",1,['Dan Nigro']
"('2i8f4VnnBjy0yDqH2C452a', '3k79jB4aGmMDUQzEwa46Rz')",1,['Dan Nigro']
"('2i8f4VnnBjy0yDqH2C452a', '4ZtFanR9U6ndgddUvNcjcG')",1,['Dan Nigro']
"('2i8f4VnnBjy0yDqH2C452a', '4xqrdfXkTW4T0RauPLv3WA')",1,['Dan Nigro']
"('2i8f4VnnBjy0yDqH2C452a', '56xHMIfQPoe0prrSi3BGhf')",1,['Dan Nigro']
"('2i8f4VnnBjy0yDqH2C452a', '5CZ40GBx1sQ9agT82CLQCT')",1,['Dan Nigro']
"('2i8f4VnnBjy0yDqH2C452a', '5JCoSi02qi3jJeHdZXMmR8')",1,['Dan Nigro']
"('2i8f4VnnBjy0yDqH2C452a', '61KpQadow081I2AsbeLcsb')",1,['Dan Nigro']
"('2i8f4VnnBjy0yDqH2C452a', '7lPN2DXiMsVn7XUKtOW1CS')",1,['Dan Nigro']
"('3CeCwYWvdfXbZLXFhBrbnf', '3hUxzQpSfdDqwM3ZTFQY0K')",1,['Taylor Swift']
"('3CeCwYWvdfXbZLXFhBrbnf', '3rWDp9tBPQR9z6U5YyRSK4')",1,['Taylor Swift']
"('3CeCwYWvdfXbZLXFhBrbnf', '4P9Q0GojKVXpRTJCaL3kyy')",1,['Taylor Swift']
"('3CeCwYWvdfXbZLXFhBrbnf', '5enxwA8aAbwZbf5qCHORXi')",1,['Taylor Swift']
"('3CeCwYWvdfXbZLXFhBrbnf', '5jQI2r1RdgtuT8S3iG8zFC')",1,['Taylor Swift']
